Country Name,Country Code,2001,2006,2011,2016,2021
Afghanistan,AFG,652230,652230,652230,652230,652230
Africa Eastern and Southern,AFE,14571611,14720228.25,14721207.05,14845113.97,14845090.09
Africa Western and Central,AFW,9045780,9045780,9045780,9045780,9045773
Albania,ALB,27400,27400,27400,27400,27400
Algeria,DZA,2381740,2381740,2381740,2381741,2381741
American Samoa,ASM,200,200,200,200,200
Andorra,AND,470,470,470,470,470
Angola,AGO,1246700,1246700,1246700,1246700,1246700
Antigua and Barbuda,ATG,440,440,440,440,440
Arab World,ARB,13611431,13611311,13608828,13100529,13100559
Argentina,ARG,2736690,2736690,2736690,2736690,2736690
Armenia,ARM,28470,28470,28470,28470,28470
Aruba,ABW,180,180,180,180,180
Australia,AUS,7682300,7682300,7682300,7692020,7692020
Austria,AUT,82520,82520,82520,82520,82520
Azerbaijan,AZE,82604,82637,82658,82670,82650
Bahamas,BHS,10010,10010,10010,10010,10010
Bahrain,BHR,710,740,767,779,790
Bangladesh,BGD,130170,130170,130170,130170,130170
Barbados,BRB,430,430,430,430,430
Belarus,BLR,202844,202904,202910,202988,202950
Belgium,BEL,30280,30280,30280,30280,30280
Belize,BLZ,22810,22810,22810,22810,22810
Benin,BEN,112760,112760,112760,112760,112760
Bermuda,BMU,54,54,54,54,54
Bhutan,BTN,39800,38117,38117,38144,38140
Bolivia (Plurinational State of),BOL,1083300,1083300,1083300,1083300,1083300
Bosnia and Herzegovina,BIH,51200,51200,51200,51200,51200
Botswana,BWA,566730,566730,566730,566730,566730
Brazil,BRA,8358140,8358140,8358140,8358140,8358140
British Virgin Islands,VGB,150,150,150,150,150
Brunei Darussalam,BRN,5270,5270,5270,5270,5270
Bulgaria,BGR,110630,108630,108560,108560,108560
Burkina Faso,BFA,273600,273600,273600,273600,273600
Burundi,BDI,25680,25680,25680,25680,25680
Cabo Verde,CPV,4030,4030,4030,4030,4030
Cambodia,KHM,176520,176520,176520,176520,176520
Cameroon,CMR,472710,472710,472710,472710,472710
Canada,CAN,8965590,8965590,8965590,8965590,8788700
Caribbean small states,CSS,404850,404850,404850,404850,404850
Cayman Islands,CYM,240,240,240,240,240
Central African Republic,CAF,622980,622980,622980,622980,622980
Central Europe and the Baltics,CEB,1104969,1103291,1104209,1105825,1104953.23
Chad,TCD,1259200,1259200,1259200,1259200,1259200
Channel Islands,CHI,198,198,198,198,198
Chile,CHL,743532,743532,743532,743532,743532
China,CHN,9388214.2,9388211.4,9388211,9388210,9388210
